m_no,m_title,m_synopsis,g_no,m_time,m_open,m_director
198,캐치 미 이프 유 캔,2003년 전미를 뒤집은 희대의 사기극!\n이것은 실화다!\n\n1965년 FBI를 발칵 뒤집는 사건이 발생한다. 파일럿을 가장해 모든 비행기의 무임승차는 기본 50개 주 은행을 순회하며 무려 140만 달러를 횡령한 희대의 사기꾼이 나타난 것이다. FBI는 최고의 베테랑 요원 칼을 수사에 투입하고 번번히 놈의 속임수에 당하던 칼은 드디어 오랜 추적 끝에 범인의 정체를 알아낸다. 그의 이름은 프랭크 아비그네일. 나이... 17살. 17살?! 천재 사기꾼과 FBI 요원의 유쾌한 머리싸움은 이제 시작이다.\n\nCatch me if you can!,3.4,140,3,스티븐 스필버그
199,캡틴 아메리카: 시빌 워,어벤져스 VS 어벤져스\n분열은 시작되었다!\n\n어벤져스와 관련된 사고로 부수적인 피해가 일어나자\n정부는 어벤져스를 관리하고 감독하는 시스템인 일명 ‘슈퍼히어로 등록제’를 내놓는다.\n어벤져스 내부는 정부의 입장을 지지하는 찬성파(팀 아이언맨)와 이전처럼 정부의 개입 없이\n자유롭게 인류를 보호해야 한다는 반대파(팀 캡틴)로 나뉘어 대립하기 시작하는데...,1.3.9,147,2,안소니 루소
200,코코,영원히 기억하고 싶은 황홀한 모험이 시작된다!\n\n뮤지션을 꿈꾸는 소년 미구엘은 전설적인 가수 에르네스토의 기타에 손을 댔다 ‘죽은 자들의 세상’에 들어가게 된다.\n그리고 그곳에서 만난 의문의 사나이 헥터와 함께 상상조차 못했던 모험을 시작하게 되는데…\n과연 ‘죽은 자들의 세상’에 숨겨진 비밀은? 그리고 미구엘은 무사히 현실로 돌아올 수 있을까?,2,126,1,리 언크리치
201,쿵푸 팬더,하.면.된.다 - 포.스.작.렬\n\n‘평화의 계곡’에서 아버지의 국수 가게를 돕고 있는 팬더 포. 아버지는 국수의 비법을 알려주어 가업을 잇게 하고 싶지만 포의 관심사는 오로지 '쿵푸 마스터'. 가게 일은 뒷전으로 하고 쿵푸의 비법이 적힌 용문서의 전수자를 정하는 ‘무적의 5인방’ 대결을 보러 시합장을 찾은 포 그런데 이게 웬일! 마을의 현인 우그웨이 대사부가 포를 용문서의 전수자로 점지하는 이변이 일어난다. 무적의 5인방은 물론 시푸 사부 역시 이 사태를 받아들이지 못하는 가운데 용문서를 노리고 어둠의 감옥에서 탈출한 타이렁이 마을을 습격해오자 그를 막아야 하는 미션이 포에게 떨어지는데... 포는 쿵푸마스터로 거듭날 수 있을까? 아니... 포가 쿵푸를 할 수는 있을까? 똥배 안에 숨겨진 포스를 깨우기 위한 포의 도전이 시작된다!,1.2.5.13,92,1,마크 오스본
202,쿵푸 팬더 2,그토록 원하던 용의 전사가 되어 무적의 5인방과 함께 평화의 계곡을 지키게 된 포. 진정한 용의 전사로 거듭나기 위해 시푸 사부와 쿵푸 수련에 매진하던 중 셴 선생이 위대한 쿵푸 사부들을 하나 둘 씩 제거하고 있다는 소식을 듣게 된다.여전히 바람을 가르는 주먹의 소리보다 배에서울리는 꼬르륵 소리가 더 크고 오랜 숙적인 계단 앞에서는 맥을 못 추는 천방지축 팬더 포. 이제 막 정식 수련을 시작하려는 포에게 쿵푸를 지켜야 한다는 막중한 미션이 주어지고 포는 무적의 5인방과 함께 길을 떠난다. 과연 포는 쿵푸의 대가들도 막지 못한 셴 선생의 비밀병기에 맞서 쿵푸를 지켜낼 수 있을까?,1.2.6.12.13,91,1,어인영
203,쿵푸 팬더 3,어느 날 우연히 어린 시절 잃어버렸던 진짜 ‘팬더’ 아버지를 만난 ‘포’는\n아버지 ‘리’와 함께 팬더들이 어울려 사는 비밀스러운 그 곳 팬더 마을로 향한다.\n자신 못지 않게 여유와 흥 넘치는 팬더들과 즐거운 시간을 보내는 포.\n하지만 모든 쿵푸 마스터들을 제압하며 전세계를 위협하는 악당 ‘카이’의 등장으로\n포는 예상치 못했던 불가능한 도전에 맞닥뜨리게 된다.\n놀기 좋아하고 먹는 게 행복이며 덤벙대는 게 특기인 팬더 친구들에게\n궁극의 쿵푸를 전수해야 하는 것!\n\n이번엔 쿵푸를 가르쳐야 한다!\n쿵푸 훈련법 마스터에 나선 ‘포’ 팬더 인생 최대의 도전이 시작된다!,1.2.12,94,1,어인영
204,크루엘라,처음부터 난 알았어. 내가 특별하단 걸\n그게 불편한 인간들도 있겠지만 모두의 비위를 맞출 수는 없잖아?\n그러다 보니 결국 학교를 계속 다닐 수가 없었지\n\n우여곡절 런던에 오게 된 나 에스텔라는 재스퍼와 호레이스를 운명처럼 만났고\n나의 뛰어난 패션 감각을 이용해 완벽한 변장과 빠른 손놀림으로 런던 거리를 싹쓸이했어\n\n도둑질이 지겹게 느껴질 때쯤 꿈에 그리던 리버티 백화점에 낙하산(?)으로 들어가게 됐어\n거리를 떠돌았지만 패션을 향한 나의 열정만큼은 언제나 진심이었거든\n\n근데 이게 뭐야 옷에는 손도 못 대보고 하루 종일 바닥 청소라니\n인내심에 한계를 느끼고 있을 때 런던 패션계를 꽉 쥐고 있는 남작 부인이 나타났어\n천재는 천재를 알아보는 법! 난 남작 부인의 브랜드 디자이너로 들어가게 되었지\n\n꿈을 이룰 것 같았던 순간도 잠시 세상에 남작 부인이 ‘그런 사람’이었을 줄이야…\n\n그래서 난 내가 누군지 보여주기로 했어\n잘가 에스텔라\n\n난 이제 크루엘라야!,3.4.5,133,2,크레이그 질레스피
205,미션 임파서블: 고스트프로토콜,지상 최대의 스케일 사상 초유의 액션\n\n불가능한 미션이 다시 시작된다!\n\n러시아 크렘린 궁 폭발 테러 사건에 연루되어 위기를 맞게 된 IMF(Impossible Mission Force).\n\n국가적 분쟁을 피하기 위해 정부는 IMF 조직에 대해 고스트 프로토콜을 발동하고 조직의 과거도 정체도 모두 지워버린다.\n\n순식간에 국제 테러리스트가 되어 버린 특수비밀요원 이단 헌트(톰 크루즈)는 자신과 조직의 명예를 되찾기 위해 지상 최대의 불가능한 미션을 다시 시작한다,1,132,3,브래드 버드
206,미션 임파서블: 폴아웃,예측 할 수 없는 미션. 피할 수 없는 선택\n전 세계 최강의 스파이 기관 IMF의 최고 요원 에단 헌트(톰 크루즈)와 그의 팀은 테러조직의 핵무기 소지를 막기 위해 미션에 착수한다.\n에단 헌트는 작전 수행 중 예상치 못한 결단을 내리게 되고 중앙정보국 CIA는 그를 견제하기 위해 상급 요원 어거스트 워커(헨리 카빌)를 파견한다.\n최악의 테러 위기와 라이벌의 출현 속 팀이 행한 모든 선의의 선택들이 최악의 결과로 돌아오면서 미션은 점점 더 예측할 수 없는 상황으로 치닫게 되는데…\n사상 가장 불가능한 미션 피할 수 없다면 끝내야 한다!,1.7,147,3,크리스토퍼 맥쿼리
207,미션 임파서블: 로그네이션,시리즈 사상 최악의 위기!\n역대 가장 불가능한 미션이 시작된다!\n\n미국정부로부터 해체 통보를 받게 된 최첨단 첩보기관 IMF(Impossible Mission Force). ‘에단 헌트(톰 크루즈)’를 포함한 팀원들은 모두 뿔뿔이 흩어지게 되고 정체불명의 테러조직 ‘로그네이션’은IMF 전멸 작전을 펼친다. 로그네이션에게 납치 당한 ‘에단 헌트’는 의문의 여인 ‘일사(레베카 퍼거슨)’의 도움을 받아 극적 탈출에 성공하고 다시 팀원들을 불러 모은다. 리더 ‘에단 헌트’부터 전략 분석요원 ‘브랜트(제레미 레너)’ IT 전문요원 ‘벤지(사이먼 페그)’ 해킹 전문요원 ‘루터(빙 라메스)’ 그리고 정체를 알 수 없는 ‘일사’까지. 다시 모인 그들은 역대 가장 위협적인 적 로그네이션에 맞서는 불가능한 미션을 펼친다!,1.7.12,131,3,크리스토퍼 맥쿼리
208,미션 임파서블 3,“전세계가 기다리는 그가 돌아왔다!”\n역대 시리즈를 뛰어넘는 최고의 불가능한 미션!\n극악무도한 적과 자신의 조직에 맞서 성공 불가능한 미션에 도전한다!\n\n최첨단 정보기관 ‘IMF’의 특수 비밀 요원 ‘이단 헌트(톰 크루즈)’.\n최고의 베테랑 특수 요원으로서 항상 긴장감 속에 경계를 늦추지 않던 그는\n이제 현장에서 한 발 물러나 특수 요원 트레이닝에 전념하며 삶의 여유를 찾고\n사랑하는 여인 ‘줄리아(미셸 모나한)’와 행복한 결혼을 꿈꾼다.\n\n하지만 그녀와의 약혼식 날 급작스런 본부의 호출을 받은 ‘이단 헌트’에게\n세계적으로 악명 높은 국제 암거래상 ‘오웬 데비언(필립 세이모어 호프만)’에게 인질로 잡혀있는 IMF 요원을 구출하라는 명령이 떨어진다.\n사랑하는 약혼녀에게 차마 사실을 알리지 못한 채 최고의 IMF팀을 이끌고 작전에 임하는 ‘이단 헌트’는 요원을 구출하는 데에 극적으로 성공하지만 그녀는 결국 목숨을 잃는다.\n\nIMF 본부의 국장(로렌스 피시번)은 작전에 실패한 ‘이단 헌트’를 심하게 문책하고\n그는 자신과 상관의 명예를 회복하기 위해 다시 ‘오웬’을 추적한다.\n이번에 그에게 주어진 미션은 철통 같은 보안으로 결코 침투 불가능한 바티칸의 심장부.\n최첨단 장비로 무장한 IMF 최고의 팀을 이끌고 교황의 연설장에 잠입한 ‘이단 헌트’는\n환상적인 팀워크와 스릴 넘치는 작전으로 그를 납치하고 극비정보를 입수하는데 성공한다.\n\n‘오웬’을 생포하여 IMF 본부로 오던 중 ‘이단 헌트’의 IMF팀은 정체 모를 집단에 의해\n비행기에서 쏟아지는 무차별적인 미사일 공격을 받고 ‘오웬’은 다시 그의 손을 빠져나간다.\n극악무도한 ‘오웬’은 빼앗긴 극비정보를 되찾기 위해 ‘이단 헌트’의 아내를 납치하고\n자신이 요구하는 극비정보를 IMF 본부에서 48시간 안에 다시 빼내오지 않으면\n‘이단’의 눈 앞에서 사랑하는 ‘줄리아’를 처참하게 죽여버리겠다고 위협한다.\n\n평생 최고의 불가능한 미션에 직면한 ‘이단 헌트’.\n이제 어느 누구의 도움도 받을 수 없다!\n극악무도한 적과 자신의 조직에 맞서 성공 불가능한 미션에 도전한다!,1,124,3,J.J. 에이브럼스
209,미션 임파서블 2,러시아의 생물공학자인 네코비치 박사는 어느날 IMF(IMPOSSIBLE MISSON FORCE)의 요원인 이단 헌트에게 구원 요청을 한다. 그는 그리스 신화를 인용해 '키메라'라는 바이러스를 만들고 또 이를 억제할 '벨레로폰'도 만들었음을 밝힌다. 그러나 질병 센터가 있는 아틀란타로 가는 비행기에 탑승한 사람은 헌트로 변장한 테러리스트 앰브로즈였다. 앰브로즈는 박사에게 벨레로폰을 탈취한 후 비행기 추락사고를 가장하여 그를 살해한다. 그러나 앰브로즈는 악성 바이러스는 박사의 몸에 주입되어 있다는 사실을 전혀 모르고 있었다. 벨레로폰 탈취는 성공했으나 정작 필요한 악성 바이러스인 키메라가 없었으므로 그의 작전은 반쪽 성공일 뿐이었다. 이 사건으로 IMF측에서는 앰브로즈가 탈취한 것이 무엇인지 알아내려고 헌트를 불렀고 그는 키메라라는 것이 인플루엔자 유행성감기를 없애기 위한 완벽한 치료제인 '벨레로폰'을 유전학적으로 조합하다가 부수적으로 만들어진 악성 바이러스라는 사실을 알아낸다. 헌트는 앰브로스의 애인이었던 니아 홀을 포섭해 대원으로 만든다. 그러나 그녀와 사랑에 빠진다. 모든 음모를 알아낸 헌트는 '바이오싸이트 제약 회사'에 보관되어 있는 마지막 남은 키메라 바이러스를 파괴하기 위해 제약회사 건물에 침투한다. 그러나 헌트와 애인인 니아의 관계를 알아 챈 앰브로스는 헌트의 침투작전을 역이용해 키메라를 손에 넣고 만다. 한편 헌트와 앰브로즈와의 결투과정에서 헌트를 살리기 위해 스스로 키메라 바이러스를 몸에 주입한 니아는 자신이 죽으면 키메라 바이러스가 파괴될 것으로 믿고 스스로 자살을 결심을 하는데...,1.7,124,3,오우상
210,타이타닉,“내 인생의 가장 큰 행운은 도박에서 딴 티켓으로 당신을 만난 거야”\n단 하나의 운명 단 한 번의 사랑 영원으로 기억될 세기의 러브 스토리\n\n우연한 기회로 티켓을 구해 타이타닉호에 올라탄 자유로운 영혼을 가진 화가 잭(레오나르도 디카프리오)은 막강한 재력의 약혼자와 함께 1등실에 승선한 로즈(케이트 윈슬렛)에게 한 눈에 반한다. 진실한 사랑을 꿈꾸던 로즈 또한 생애 처음 황홀한 감정에 휩싸이고 둘은 운명 같은 사랑에 빠지는데…,1.3.6,194,3,제임스 카메론
211,타잔,"타잔에 설정된 ""두 개의 세계""는 배가 난파되는 비극적인 사고로부터 시작된다. 젊은 부부와 어린 아기 타잔은 야수들이 들끓는 정글에 가까스로 도착한다. 그후 얼마 뒤 표범에게 새끼 고릴라를 잃은 칼라가 밀림속에 버려진 아기를 발견한다. 아기의 부모는 이미 표범에게 잡아먹힌 뒤였다. 표범의 위협으로부터 아기를 극적으로 살려낸 칼라는 고릴라의 지도자인 커착에게 아기를 데려간다. 다섯살박이가 된 타잔은 장난꾸러기다. 고릴라들 속에서 고릴라가 된 타잔은 밀림의 동물을 흉내내고 따라하지만 동물 친구들에 비해 자신이 어딘가 다르다는 것을 깨닫기 시작한다. 청년으로 성장한 타잔은 이제 날렵하고 강인한 타잔으로 변신했다. 칼라의 새끼 고릴라와 타잔의 부모를 죽인 표범이 나타나지 타잔은 일대 일로 붙어보잔 듯 실력을 발휘한다. 엄격한 지도자인 커착 또한 타잔의 비상한 두뇌와 날렵한 동작 그리고 가족을 위해 목숨을 던질만큼 굴하지 않는 용기에 감탄을 금치 못한다. 이 무렵 정글에 총성이 울려 퍼진다. 타잔의 운명에 위기와 변화가 닥칠 것이란 신호탄같은 총성이었다. 총성의 진원지를 찾아간 타잔은 태어나서 처음으로 인간을 만나게 된다. 고릴라를 연구하기 위하여 온 포터 교수 그의 아름다운 딸 제인 그리고 두사람의 안내자 자격으로 동행한 클레이튼을 만난 타잔은 또 다른 세계가 존재한다는 것을 깨우치게 된다. 게다가 타잔은 자신이 제인에게 이끌리고 있다는 것을 느끼기 시작한다. 그러나 타잔은 인간과 함께 일체감을 느끼기 시작하면서 자신에게는 물론 고릴라 가족에게 비극적인 위기가 닥치게 될 것이란 사실을 의심조차 하지 못한 채 인간을 밀림 속으로 이끄는데...\n\n",2.12.13,88,1,케빈 리마
212,태극기 휘날리며,“우린 반드시 살아서 돌아가야해”\n가족의 생계를 책임지기 위해 열심히 살아가는 ‘진태’(장동건)는 약혼녀 ‘영신’(이은주)과의 결혼과 세상에서 가장 소중하게 생각하는 동생 ‘진석’(원빈)의 대학진학을 위해 어려운 상황에서도 씩씩하게 생활을 해나간다.\n\n1950년 6월의 어느 날 한반도에 전쟁이 일어났다는 호회가 배포되고 두 형제는 평온한 일상에서 갑작스레 전쟁터로 내몰린다. 훈련받을 시간조차 없이 국군 최후의 보루인 낙동강 방어선으로 실전 투입된 ‘진태’와 ‘진석’. 동생과 같은 소대에 배치된 ‘진태’는 아직 학생인 동생의 징집해제를 위해 대대장을 만나게 되고 동생의 제대를 위해 자신이 해야 할 최선의 것이 무엇인지를 느끼게 된다.\n\n그리고 동생의 생존을 위해 총을 들며 영웅이 되기를 자처하게 되고\n끝내 생각지도 못한 운명의 덫이 두 형제를 기다리고 있는데…,3.15,148,3,강제규
213,택시운전사,1980년 5월 서울 택시운전사.\n“광주? 돈 워리 돈 워리! 아이 베스트 드라이버”\n택시운전사 만섭(송강호)은 외국손님을 태우고 광주에 갔다 통금 전에 돌아오면\n밀린 월세를 갚을 수 있는 거금 10만원을 준다는 말에\n독일기자 피터(토마스 크레취만)를 태우고 영문도 모른 채 길을 나선다.\n\n광주 그리고 사람들. “모르겄어라 우덜도 우덜한테 와 그라는지…”\n어떻게든 택시비를 받아야 하는 만섭의 기지로 검문을 뚫고 겨우 들어선 광주.\n위험하니 서울로 돌아가자는 만섭의 만류에도\n피터는 대학생 재식(류준열)과 황기사(유해진)의 도움 속에 촬영을 시작한다.\n그러나 상황은 점점 심각해지고 만섭은 집에 혼자 있을 딸 걱정에 점점 초조해지는데…,3,137,3,장훈
214,터미네이터 2: 심판의 날,인간과 기계의 대전쟁.. 그를 지키지 않으면 미래 또한 없다!\n미래 인류와 기계의 전쟁은 계속 되는 가운데 스카이넷은 인류 저항군 사령관 존 코너를 없애기 위해 액체 금속형 로봇인 T-1000(로버트 패트릭)을 과거의 어린 존 코너에게로 보낸다. 형태의 변신과 자가 치유까지 가능한 T-1000에 대항하고 존 코너를 지키기 위해 인류 저항군은 T-101 (아놀드 슈왈제네거)을 과거로 급파한다. 미래의 인류 운명을 쥔 어린 존 코너 그를 구해내지 않으면 인류의 미래는 없다. 반드시 제거해야 하는 스카이넷의 T-1000은 거침없이 존 코너 일행을 위협하며 숨가쁜 추격을 시작하는데...,1.7.9,155,3,제임스 카메론
215,토르: 다크 월드,태초의 어둠이 덮친 세계 새로운 전쟁이 시작된다!\n\n<어벤져스>의 뉴욕 사건 후 다시 신들의 고향인 아스가르드 왕국으로 돌아간 토르(크리스 헴스워스)와 로키(톰 히들스턴). 지구를 위협한 로키는 지하 감옥에 갇히고 토르는 아버지 오딘(안소니 홉킨스)과 함께 우주의 질서를 재정립하기 위해 나선다. 1년 후 지구에 혼자 남은 제인(나탈리 포트만)은 우연히 태초부터 존재해왔던 어둠의 종족 ‘다크 엘프’의 무기 ‘에테르’를 얻게 된다. 이 사실을 안 ‘다크 엘프’의 리더 ‘말레키스’는 ‘에테르’를 되찾기 위해 제인과 아스가르드를 공격하고 토르는 사랑하는 여인 제인과 아스가르드 왕국을 지키기 위해 로키에게 위험한 동맹을 제안하게 된다.,1.11.12,111,2,앨런 테일러
216,토르: 라그나로크,피할 수 없는 세상의 멸망\n‘라그나로크’를 막아라!\n\n죽음의 여신 ‘헬라’가 아스가르드를 침략하고 세상은 모든 것의 종말 ‘라그나로크’의 위기에 처한다. 헬라에게 자신의 망치마저 파괴당한 토르는 어벤져스 동료인 헐크와도 피할 수 없는 대결을벌이면서 절체절명의 위기에 빠지게 되는데…\n\n지금 마블의 메인 이벤트가 시작된다!,1.9.11.12,130,2,타이카 와이티티
217,토르: 천둥의 신,신의 세계 ‘아스가르드’의 후계자로 강력한 파워를 지닌 천둥의 신 ‘토르’. 평소 거침없는 성격의 소유자인 토르는 신들간의 전쟁을 일으킨 죄로 신의 자격을 박탈당한 채 지구로 추방당한다. 힘의 원천인 해머 ‘묠니르’도 잃어버린 채 하루 아침에 평범한 인간이 되어버린 토르는 혼란스러움을 뒤로 한 채 지구에서 처음 마주친 과학자 ‘제인’ 일행과 함께 하며 인간 세계에 적응해 나가기 시작한다. 하지만 그 사이 아스가르드는 후계자 자리를 노리는 ‘로키’의 야욕으로 인해 혼란에 빠진다. 후계자로 지목된 자신의 형 토르를 제거하려는 로키는 마침내 지구에까지 무차별적인 공격을 시작한다. 자신의 존재 때문에 지구에 거대한 위험이 닥치고 있음을 알게 된 토르. 그런 그의 앞에 보다 강력한 파괴력의 상대가 등장하는데…,1.11.12,130,2,케네스 브래너
218,토이 스토리 2,앤디는 쓸모없는 물건을 팔기위해 장난감 몇 가지를 골라 앞뜰에 전시한다. 우디는 친구인 위지가 팔려가게 될 것이라는 걸 알고 위지를 구출하러 밖으로 나간다. 그러나 우디는 장난감 수집광인 알에게 발견되어 그의 집으로 가게 된다.\n대형 장난감가게를 운영하고 있는 알은 오래전 방영됐던 TV프로그램인 ‘우디의 가축몰이’를 수집하고 있었다. 알은 희귀한 장난감이 된 카우보이 우디를 손에 넣자 일본에서 토이박물관을 여는 사업가에게 팔 계획을 세우고 있었다.\n우디가 알에게 유괴당하는 모습을 본 버즈는 친구들과 함께 버즈를 구하러 간다. 위험천만한 도로와 차들 그리고 승강기 탈출 작전을 펼치며 알의 장난감 가게로 침입 하게 된다.\n버즈는 장난감 가게에 있던 제시와 프로스펙터 볼스아이를 보며 예전에 인기가 많던 시절을 떠올리며 친구들과 그들과 함께 살아가겠다고 다짐하고 버즈는 장난감 가게에 있던 신형버즈에게 감금되고 신형버즈는 자신이 버즈인 것처럼 행동하고 다녔다. 그리고 버즈와 적대관계인 Z대왕이 나타나 그들을 막고 있었다. 신형버즈는 Z대왕과 대결하지만 오히려 일행을 위험에 빠지게 하고 버즈는 탈출해 버즈가 있는 곳으로 갔다. 그러나 우디는 가출몰이 친구들과 도쿄로 가겠다고 한다. 장난감은 아이들에게 사랑받아야 한다는 버즈의 이야기를 듣고 우디는 다시 생각을 고친다. 그러나 항상 소외받던 프로스펙터가 우디를 붙잡고 우디는 결국 짐에 실려 비행장까지 가게 된다. 우디는 가까스로 탈출했지만 제시가 화물에 실려 가고 우디와 볼스아이는 힘을 합쳐 제시를 구해낸다.,2.12.13,85,1,존 라세터
219,토이 스토리 3,우디와 버즈 그리고 장난감 친구들의 주인인 앤디 데이비스는 이제 17세가 되어 대학 입학을 눈앞에 앞두고 있다. 오랫동안 장난감을 가지고 놀지 않았던 앤디는 대학에 입학하면 우디만 가지고 가기로 하고 나머지는 모두 쓰레기 봉투에 넣어서 다락방에 놓아둔다. 하지만 이것이 진짜 쓰레기 봉투인줄 안 앤디의 엄마가 이 봉투를 청소부가 가져갈 수 있도록 길거리에 가져다 놓으면서 사건은 시작된다. 자신들이 다락방에 보관되기로 되었던 것을 모르는 장난감들은 자신들이 버려졌다는 배신감에 사로잡히고 서니사이드 유아원(Sunnyside Daycare)에 자신들을 ‘기증’하기로 결심한다. 우디가 이들의 오해를 풀기 위해 노력하지만 이들은 막무가내. 마침내 유아원에 도착한 이들 일행을 곰인형 ‘랏소(Lotso)’ 미남인형 ‘켄(Ken)’ 등을 포함한 유아원의 인형들이 반갑게 맞이한다. 앤디에게 돌아오기 위해 유아원을 나선 우디는 보니(Bonnie)라는 소녀에게 발견되어 그녀의 집에 가게 되는데 그 집에서 만난 보니의 인형 ‘척클스(Chuckles)’는 우디에게 서니사이드 유아원에 감쳐진 위험을 알려준다. 사실 그곳은 ‘랏소’가 지배하는 인형들의 감옥과도 같은 곳이었던 것. 이제 서니사이드로부터 친구들을 구출하고 다음날로 예정된 앤디의 출발 전에 집으로 되돌아가기 위한 우디의 모험이 시작되는데…,2.5.11.13,102,1,리 언크리치
220,토이 스토리 4,우리의 여행은 아직 끝나지 않았다!\n\n장난감의 운명을 거부하고 떠난 새 친구 ‘포키’를 찾기 위해 길 위에 나선 ‘우디’는\n우연히 오랜 친구 ‘보핍’을 만나고 그녀를 통해 새로운 세상에 눈을 뜨게 된다.\n한편 ‘버즈’와 친구들은 사라진 ‘우디’와 ‘포키’를 찾아 세상 밖 위험천만한 모험을 떠나게 되는데…\n\n당신이 기다려온 그들의 진짜 이야기가 공개된다!,2.5.12,99,1,조시 쿨리
221,트랜스포머 3,인류가 달에 첫 발을 디딘 그 날부터 오토봇과 디셉티콘의 전쟁은 예고되었다.\n시카고 도심 한복판 정체 불명의 푸른 빛이 하늘을 향해 쏘아 올려진다.빛은 오랜 시간 동안 달의 어둠 속에 잠들어 있던 디셉티콘 군단을 깨우게 되고순식간에 시카고를 점령한 디셉티콘 군단의 무차별 공격으로 인해 도시는 초토화된다.오토봇의 수장 옵티머스 프라임은 디셉티콘의 도심 공격이 40년 전 인류의 달 착륙과 관련이 있다는 것을 알아내고다시 한번 우주의 운명을 건 최후의 전면전에 나서는데… 수천년을 끌어온 오토봇 VS 디셉티콘의 전쟁 그 최후의 전투가 지금 시작된다!,1.12,152,2,마이클 베이
222,킹콩,신비로운 해골섬의 전설적인 야수 '킹콩' 뉴욕으로 잡혀 온‘킹콩’이 도심 한복판에서 벌이는 숨막히는 액션과 환상적인 로맨스가 펼쳐진다!\n\n새로운 작품에 대한 열정이 넘치던 영화감독 칼 덴햄(잭 블랙)은 거리에서 우연히 발굴한 매력적인 여인 앤 대로우(나오미 왓츠)와 지적인 시나리오 작가 잭 드리스콜(애드리안 브로디)과 함께 영화 촬영을 위해 지도상에도 존재하지 않는 미지의 공간인 해골섬을 찾아 떠난다.\n\n그리고 수억만 년 전의 고대 정글이 고스란히 존재하는 해골섬에서 그들은 전설로만 들어왔던 거대한 킹콩과 맞닥뜨린다. 해골섬의 원주민들에게 붙잡혀 제물로 바쳐진 앤의 아름다움에 매료된 킹콩. 갑자기 섬에 존재하는 잔인한 공룡이 나타나 그녀를 공격하고 킹콩은 공룡과 혈전을 벌이며 그녀를 지켜낸다.\n\n그러나 탐욕스러운 욕망에 사로잡힌 감독 덴햄은 킹콩이 앤에게 마음을 빼앗긴 틈을 타 킹콩을 뉴욕으로 생포해온다. 뉴욕 도심에서 사람들의 구경거리로 전락한 킹콩의 분노는 극에 달하고 야수의 본능을 드러내며 뉴욕 도심을 휩쓸기 시작한다. 인간들은 거대 병력을 동원해 킹콩에게 빗발치는 공격을 퍼붓고 킹콩은 공격을 피해 앤을 데리고 엠파이어 스테이트 빌딩으로 올라간다. 빌딩 꼭대기에서 거대한 위용을 드러내며 포효하는 킹콩. 사랑하는 앤을 보호하기 위해 잔인한 인간들에 맞서 처절한 사투를 벌이는데... 과연 거대한 야수 킹콩은 인간과의 대결에서 살아남을 것인가! 수억만 년 동안 잠들어있던 거대한 야수 킹콩의 전설이 드디어 뉴욕 도심을 뒤흔들며 다시 깨어난다!,3.12,186,3,피터 잭슨
223,트루먼 쇼,220개국 17억 인구가 5천 대 카메라로 지켜본 지 10909일째!\n\n작은 섬에서 평범한 삶을 사는 30세 보험회사원 트루먼 버뱅크\n아내와 홀어머니를 모시고 행복한 하루 하루를 보내던 어느 날 하늘에서 조명이 떨어진다!\n의아해하던 트루먼은 길을 걷다 죽은 아버지를 만나고 라디오 주파수를 맞추다\n자신의 일거수일투족이 라디오에 생중계되는 기이한 일들을 연이어 겪게 된다.\n지난 30년간 일상이라고 믿었던 모든 것들이 어딘가 수상하다고 느낀 트루먼은\n모든 것이 ‘쇼’라는 말을 남기고 떠난 첫사랑 ‘실비아’를 찾아 피지 섬으로 떠나기로 결심한다.\n\n가족 친구 회사… 하나부터 열까지 모든 것이 가짜인 ‘트루먼 쇼’\n과연 트루먼은 진짜 인생을 찾을 수 있을까?,3.5.11,102,2,피터 위어
224,트리 오브 라이프,"""아버지 그 시절 당신이 미웠습니다""\n\n중년의 잘 나가는 건축가 잭(숀 펜 分). 그는 늘 같은 꿈을 꾸며 눈을 뜬다. 19살 때 죽은 어린 동생에 대한 기억. 오랜만에 아버지와 통화를 한 잭은 문득 어린 시절을 떠올린다.\n\n미국 텍사스 오브라이언(브래드 피트 分)과 아내(제시카 차스테인 分)는 세 아들과 함께 단란한 가정을 이룬다. 언제나 자애로운 사랑으로 아이들을 대하는 엄마와 달리 엄격하기만 한 아버지 오브라이언은 아이들에게 경외의 대상이자 두려움의 대상이다. 맏아들인 잭은 권위적인 아버지와 자꾸 부딪히게 되고 두 사람 사이엔 미움과 분노가 자리하게 되는데",3,137,3,테렌스 맬릭
225,앤트맨과 와스프,“이제 믿을 건 자네 둘 뿐이야”\n사이즈부터 다른 마블의 히든카드가 온다\n\n‘시빌 워’ 사건 이후 은둔하며 히어로와 가장의 역할 사이에서 고민 중이던\n‘앤트맨’과 새로운 파트너 ‘와스프’ 앞에 정체불명의 빌런 ‘고스트’가 등장한다.\n시공간의 개념이 사라진 양자 영역으로 들어갈 수 있는 기술을 훔쳐 달아난\n고스트를 쫓던 앤트맨과 와스프는 상상도 못했던 상황에 직면하는데…,1.9.12,118,2,페이튼 리드
