p_no	u_no	f_no	p_date	p_quantity
2561	147	867	2022-07-25	10
2562	196	2006	2022-07-25	1
2563	199	125	2022-07-25	4
2564	220	772	2022-07-25	6
2565	228	978	2022-07-25	8
2566	1	3209	2022-07-26	1
2567	6	2833	2022-07-26	9
2568	14	4351	2022-07-26	6
2569	34	3768	2022-07-26	2
2570	37	3452	2022-07-26	3
2571	44	2658	2022-07-26	10
2572	52	2156	2022-07-26	6
2573	77	2837	2022-07-26	1
2574	84	4332	2022-07-26	1
2575	93	2415	2022-07-26	1
2576	97	2677	2022-07-26	8
2577	105	4321	2022-07-26	7
2578	114	3522	2022-07-26	1
2579	117	3695	2022-07-26	2
2580	134	693	2022-07-26	8
2581	136	2101	2022-07-26	5
2582	137	1668	2022-07-26	10
2583	140	1416	2022-07-26	5
2584	159	2153	2022-07-26	6
2585	214	375	2022-07-26	4
2586	12	4099	2022-07-27	9
2587	47	3334	2022-07-27	3
2588	48	3209	2022-07-27	9
2589	69	3640	2022-07-27	3
2590	91	4305	2022-07-27	8
2591	118	4145	2022-07-27	9
2592	129	482	2022-07-27	1
2593	134	380	2022-07-27	2
2594	138	410	2022-07-27	5
2595	159	854	2022-07-27	9
2596	203	516	2022-07-27	10
2597	227	576	2022-07-27	10
2598	2	4147	2022-07-28	4
2599	5	2366	2022-07-28	3
2600	24	2245	2022-07-28	8
2601	28	3230	2022-07-28	7
2602	55	3922	2022-07-28	2
2603	63	2860	2022-07-28	8
2604	109	3332	2022-07-28	5
2605	111	2372	2022-07-28	9
2606	121	3630	2022-07-28	6
2607	190	1266	2022-07-28	7
2608	191	1211	2022-07-28	4
2609	191	520	2022-07-28	8
2610	196	612	2022-07-28	3
2611	205	1194	2022-07-28	3
2612	221	1419	2022-07-28	7
2613	223	1924	2022-07-28	1
2614	5	3683	2022-07-29	3
2615	8	4162	2022-07-29	4
2616	33	3894	2022-07-29	4
2617	45	4201	2022-07-29	5
2618	58	2205	2022-07-29	10
2619	91	2868	2022-07-29	4
2620	98	3937	2022-07-29	4
2621	102	2327	2022-07-29	8
2622	106	3206	2022-07-29	1
2623	142	1124	2022-07-29	10
2624	144	590	2022-07-29	3
2625	181	655	2022-07-29	8
2626	190	439	2022-07-29	3
2627	196	1937	2022-07-29	1
2628	199	1140	2022-07-29	10
2629	212	1420	2022-07-29	6
2630	231	1357	2022-07-29	3
2631	15	3279	2022-07-30	8
2632	43	3757	2022-07-30	8
2633	59	3914	2022-07-30	3
2634	98	3923	2022-07-30	2
2635	137	779	2022-07-30	7
2636	161	2046	2022-07-30	8
2637	163	987	2022-07-30	10
2638	174	968	2022-07-30	10
2639	175	1726	2022-07-30	7
2640	200	522	2022-07-30	2
2641	211	1257	2022-07-30	5
2642	213	621	2022-07-30	2
2643	17	4302	2022-07-31	9
2644	37	3208	2022-07-31	4
2645	43	2749	2022-07-31	9
2646	59	3823	2022-07-31	6
2647	67	3410	2022-07-31	10
2648	91	2487	2022-07-31	5
2649	93	2492	2022-07-31	5
2650	101	4256	2022-07-31	10
2651	116	2257	2022-07-31	6
2652	127	345	2022-07-31	8
2653	147	610	2022-07-31	10
2654	10	2319	2022-08-01	1
2655	16	2191	2022-08-01	9
2656	22	2195	2022-08-01	10
2657	51	3771	2022-08-01	8
2658	77	3343	2022-08-01	10
2659	81	2968	2022-08-01	7
2660	105	4169	2022-08-01	7
2661	117	2948	2022-08-01	3
2662	120	2175	2022-08-01	3
2663	130	492	2022-08-01	8
2664	149	699	2022-08-01	6
2665	178	182	2022-08-01	7
2666	185	384	2022-08-01	3
2667	11	2294	2022-08-02	4
2668	20	3251	2022-08-02	10
2669	44	3660	2022-08-02	4
2670	63	2606	2022-08-02	2
2671	108	4356	2022-08-02	2
2672	116	3787	2022-08-02	8
2673	129	1924	2022-08-02	2
2674	139	242	2022-08-02	3
2675	164	974	2022-08-02	1
2676	194	228	2022-08-02	8
2677	194	868	2022-08-02	5
2678	210	1229	2022-08-02	7
2679	227	1128	2022-08-02	8
2680	26	2500	2022-08-03	10
2681	40	2388	2022-08-03	1
2682	46	3904	2022-08-03	2
2683	54	4185	2022-08-03	3
2684	130	918	2022-08-03	8
2685	187	1381	2022-08-03	1
2686	200	147	2022-08-03	3
2687	210	1594	2022-08-03	1
2688	213	1017	2022-08-03	8
2689	216	597	2022-08-03	6
2690	218	1527	2022-08-03	9
2691	220	2080	2022-08-03	9
2692	225	627	2022-08-03	4
2693	227	1792	2022-08-03	1
2694	22	3655	2022-08-04	1
2695	41	3662	2022-08-04	1
2696	42	4266	2022-08-04	10
2697	69	2597	2022-08-04	8
2698	78	3451	2022-08-04	5
2699	93	3208	2022-08-04	4
2700	126	1131	2022-08-04	2
2701	176	1423	2022-08-04	9
2702	186	1675	2022-08-04	7
2703	220	866	2022-08-04	9
2704	227	955	2022-08-04	10
2705	11	2379	2022-08-05	1
2706	62	3296	2022-08-05	7
2707	97	3550	2022-08-05	7
2708	113	2730	2022-08-05	3
2709	120	4175	2022-08-05	5
2710	183	1099	2022-08-05	7
2711	184	1571	2022-08-05	7
2712	190	379	2022-08-05	5
2713	193	1666	2022-08-05	8
2714	194	1667	2022-08-05	3
2715	225	2010	2022-08-05	3
2716	230	1169	2022-08-05	3
2717	57	4355	2022-08-06	7
2718	57	2647	2022-08-06	3
2719	66	3285	2022-08-06	9
2720	71	3925	2022-08-06	8
2721	90	3322	2022-08-06	3
2722	122	3068	2022-08-06	6
2723	137	1501	2022-08-06	1
2724	138	257	2022-08-06	1
2725	147	766	2022-08-06	10
2726	166	478	2022-08-06	1
2727	177	1908	2022-08-06	3
2728	222	1557	2022-08-06	8
2729	16	3914	2022-08-07	4
2730	29	3015	2022-08-07	6
2731	112	3834	2022-08-07	4
2732	130	1027	2022-08-07	1
2733	160	1705	2022-08-07	2
2734	168	1394	2022-08-07	10
2735	178	1446	2022-08-07	1
2736	182	620	2022-08-07	9
2737	81	3914	2022-08-08	6
2738	85	2911	2022-08-08	10
2739	145	927	2022-08-08	4
2740	153	854	2022-08-08	2
2741	159	2045	2022-08-08	5
2742	168	49	2022-08-08	9
2743	186	165	2022-08-08	8
2744	203	1491	2022-08-08	9
2745	203	1961	2022-08-08	9
2746	210	32	2022-08-08	10
2747	214	1957	2022-08-08	6
2748	74	2641	2022-08-09	1
2749	99	3623	2022-08-09	8
2750	113	3545	2022-08-09	4
2751	129	1058	2022-08-09	4
2752	137	725	2022-08-09	8
2753	145	1459	2022-08-09	8
2754	147	908	2022-08-09	1
2755	151	441	2022-08-09	10
2756	179	180	2022-08-09	5
2757	197	2009	2022-08-09	3
2758	205	464	2022-08-09	1
2759	212	1075	2022-08-09	7
2760	212	1928	2022-08-09	9
2761	2	2514	2022-08-10	9
2762	17	3944	2022-08-10	3
2763	23	2949	2022-08-10	1
2764	115	3485	2022-08-10	10
2765	143	341	2022-08-10	3
2766	146	1853	2022-08-10	5
2767	154	1946	2022-08-10	8
2768	155	1116	2022-08-10	3
2769	164	1419	2022-08-10	2
2770	191	594	2022-08-10	5
2771	215	1513	2022-08-10	5
2772	60	3566	2022-08-11	6
2773	99	3464	2022-08-11	4
2774	100	3846	2022-08-11	9
2775	108	4154	2022-08-11	3
2776	138	1443	2022-08-11	4
2777	140	686	2022-08-11	8
2778	157	906	2022-08-11	2
2779	159	1129	2022-08-11	1
2780	207	459	2022-08-11	5
2781	211	1141	2022-08-11	3
2782	12	3822	2022-08-12	8
2783	17	4286	2022-08-12	3
2784	44	3606	2022-08-12	9
2785	50	3569	2022-08-12	1
2786	68	3049	2022-08-12	8
2787	76	3459	2022-08-12	2
2788	81	3258	2022-08-12	3
2789	88	2294	2022-08-12	9
2790	150	1390	2022-08-12	9
2791	163	1830	2022-08-12	9
2792	215	1787	2022-08-12	9
2793	29	2784	2022-08-13	4
2794	31	4207	2022-08-13	4
2795	36	4258	2022-08-13	10
2796	41	3889	2022-08-13	7
2797	56	3919	2022-08-13	5
2798	58	3281	2022-08-13	7
2799	76	3164	2022-08-13	6
2800	85	3829	2022-08-13	3
2801	97	2221	2022-08-13	9
2802	108	3031	2022-08-13	10
2803	149	297	2022-08-13	1
2804	160	945	2022-08-13	7
2805	168	1054	2022-08-13	5
2806	188	1962	2022-08-13	7
2807	190	869	2022-08-13	9
2808	217	367	2022-08-13	10
2809	231	1870	2022-08-13	1
2810	5	3723	2022-08-14	9
2811	20	4316	2022-08-14	7
2812	75	3673	2022-08-14	6
2813	78	3365	2022-08-14	6
2814	95	2515	2022-08-14	4
2815	101	3322	2022-08-14	9
2816	105	2519	2022-08-14	3
2817	126	1714	2022-08-14	10
2818	157	417	2022-08-14	6
2819	185	717	2022-08-14	2
2820	209	804	2022-08-14	2
2821	1	2719	2022-08-15	3
2822	149	1409	2022-08-15	3
2823	166	1491	2022-08-15	1
2824	168	330	2022-08-15	6
2825	191	96	2022-08-15	5
2826	202	1045	2022-08-15	6
2827	208	1435	2022-08-15	2
2828	230	1513	2022-08-15	10
2829	230	1182	2022-08-15	10
2830	232	1498	2022-08-15	7
2831	24	4112	2022-08-16	4
2832	41	4348	2022-08-16	7
2833	52	2684	2022-08-16	9
2834	54	2490	2022-08-16	4
2835	60	2297	2022-08-16	8
2836	81	4216	2022-08-16	5
2837	86	2423	2022-08-16	8
2838	96	3960	2022-08-16	9
2839	127	1963	2022-08-16	7
2840	128	1403	2022-08-16	9
2841	178	116	2022-08-16	3
2842	189	2077	2022-08-16	1
2843	193	1158	2022-08-16	10
2844	194	795	2022-08-16	7
2845	21	4090	2022-08-17	9
2846	52	4227	2022-08-17	3
2847	63	2999	2022-08-17	5
2848	69	2429	2022-08-17	10
2849	86	2583	2022-08-17	7
2850	105	3374	2022-08-17	5
2851	112	2802	2022-08-17	9
2852	121	4156	2022-08-17	6
2853	145	1726	2022-08-17	7
2854	149	760	2022-08-17	2
2855	155	1769	2022-08-17	4
2856	175	448	2022-08-17	8
2857	199	911	2022-08-17	9
2858	199	1773	2022-08-17	7
2859	226	2109	2022-08-17	9
2860	229	1164	2022-08-17	3
2861	232	484	2022-08-17	9
2862	2	3913	2022-08-18	5
2863	89	2991	2022-08-18	6
2864	96	2692	2022-08-18	1
2865	123	3106	2022-08-18	10
2866	185	1986	2022-08-18	4
2867	198	211	2022-08-18	1
2868	204	1604	2022-08-18	7
2869	207	1599	2022-08-18	4
2870	211	1284	2022-08-18	3
2871	8	3172	2022-08-19	6
2872	25	3466	2022-08-19	2
2873	42	3108	2022-08-19	9
2874	46	3216	2022-08-19	7
2875	49	4144	2022-08-19	7
2876	53	3988	2022-08-19	4
2877	104	3453	2022-08-19	9
2878	123	3126	2022-08-19	1
2879	139	2103	2022-08-19	6
2880	147	1052	2022-08-19	9
2881	175	597	2022-08-19	1
2882	218	10	2022-08-19	7
2883	1	4383	2022-08-20	3
2884	33	4125	2022-08-20	10
2885	50	4172	2022-08-20	5
2886	71	4087	2022-08-20	7
2887	73	4109	2022-08-20	1
2888	112	3834	2022-08-20	9
2889	123	2567	2022-08-20	8
2890	164	514	2022-08-20	10
2891	166	1215	2022-08-20	5
2892	231	2047	2022-08-20	10
2893	18	4037	2022-08-21	3
2894	90	3349	2022-08-21	1
2895	127	473	2022-08-21	2
2896	140	1331	2022-08-21	5
2897	144	1419	2022-08-21	4
2898	151	1901	2022-08-21	3
2899	159	26	2022-08-21	10
2900	227	253	2022-08-21	10
2901	39	4115	2022-08-22	7
2902	62	3462	2022-08-22	8
2903	66	4246	2022-08-22	10
2904	87	3245	2022-08-22	9
2905	89	3310	2022-08-22	10
2906	130	1142	2022-08-22	9
2907	134	761	2022-08-22	2
2908	169	1384	2022-08-22	10
2909	218	167	2022-08-22	10
2910	219	1928	2022-08-22	2
2911	26	3034	2022-08-23	8
2912	35	3775	2022-08-23	8
2913	62	3331	2022-08-23	6
2914	69	3814	2022-08-23	8
2915	75	3502	2022-08-23	1
2916	76	2175	2022-08-23	7
2917	96	4289	2022-08-23	10
2918	132	1008	2022-08-23	8
2919	151	218	2022-08-23	2
2920	153	2053	2022-08-23	7
2921	169	539	2022-08-23	7
2922	178	1116	2022-08-23	2
2923	183	201	2022-08-23	7
2924	194	1714	2022-08-23	2
2925	196	1479	2022-08-23	5
2926	198	1052	2022-08-23	3
2927	198	1327	2022-08-23	4
2928	217	2123	2022-08-23	3
2929	9	3478	2022-08-24	2
2930	9	4112	2022-08-24	1
2931	35	2907	2022-08-24	10
2932	71	3782	2022-08-24	9
2933	93	3000	2022-08-24	10
2934	138	1839	2022-08-24	1
2935	141	268	2022-08-24	4
2936	147	2015	2022-08-24	6
2937	162	1960	2022-08-24	8
2938	171	123	2022-08-24	8
2939	191	444	2022-08-24	3
2940	212	897	2022-08-24	2
2941	229	1695	2022-08-24	10
2942	37	2522	2022-08-25	2
2943	52	4374	2022-08-25	4
2944	54	2868	2022-08-25	10
2945	68	2423	2022-08-25	6
2946	113	4298	2022-08-25	7
2947	170	35	2022-08-25	6
2948	177	1524	2022-08-25	1
2949	178	1065	2022-08-25	2
2950	189	1766	2022-08-25	3
2951	225	573	2022-08-25	10
2952	15	3249	2022-08-26	2
2953	17	2585	2022-08-26	2
2954	17	2607	2022-08-26	5
2955	27	3517	2022-08-26	9
2956	39	2808	2022-08-26	3
2957	88	3772	2022-08-26	5
2958	91	3633	2022-08-26	8
2959	127	1199	2022-08-26	2
2960	142	1542	2022-08-26	1
2961	142	218	2022-08-26	4
2962	157	741	2022-08-26	8
2963	199	1700	2022-08-26	7
2964	200	641	2022-08-26	4
2965	202	1320	2022-08-26	1
2966	209	285	2022-08-26	9
2967	216	1760	2022-08-26	4
2968	226	1056	2022-08-26	8
2969	232	1202	2022-08-26	2
2970	18	2539	2022-08-27	9
2971	30	2565	2022-08-27	6
2972	49	3146	2022-08-27	4
2973	115	4174	2022-08-27	9
2974	115	4192	2022-08-27	1
2975	152	1969	2022-08-27	1
2976	185	2132	2022-08-27	2
2977	187	1135	2022-08-27	4
2978	199	1119	2022-08-27	2
2979	233	534	2022-08-27	5
2980	15	4248	2022-08-28	6
2981	18	3491	2022-08-28	4
2982	54	3225	2022-08-28	10
2983	111	2387	2022-08-28	6
2984	122	4137	2022-08-28	4
2985	138	153	2022-08-28	5
2986	138	1304	2022-08-28	4
2987	145	127	2022-08-28	7
2988	146	1090	2022-08-28	6
2989	149	1150	2022-08-28	1
2990	162	1325	2022-08-28	8
2991	179	43	2022-08-28	7
2992	200	1982	2022-08-28	3
2993	211	882	2022-08-28	2
2994	215	169	2022-08-28	8
2995	17	2564	2022-08-29	4
2996	23	2484	2022-08-29	6
2997	46	3015	2022-08-29	9
2998	51	3654	2022-08-29	4
2999	80	3151	2022-08-29	1
3000	124	3926	2022-08-29	8
3001	173	901	2022-08-29	7
3002	202	1597	2022-08-29	3
3003	209	639	2022-08-29	4
3004	209	1943	2022-08-29	6
3005	224	462	2022-08-29	1
