s_no	u_no	f_no	s_date	s_quantity
2557	118	2764	2022-08-21	10
2558	132	1681	2022-08-21	9
2559	140	1224	2022-08-21	9
2560	152	1119	2022-08-21	3
2561	179	675	2022-08-21	10
2562	190	358	2022-08-21	6
2563	194	987	2022-08-21	10
2564	200	1914	2022-08-21	5
2565	215	1827	2022-08-21	1
2566	4	2663	2022-08-22	2
2567	6	2831	2022-08-22	1
2568	35	3371	2022-08-22	3
2569	45	3420	2022-08-22	2
2570	76	2599	2022-08-22	1
2571	125	1310	2022-08-22	3
2572	125	1651	2022-08-22	10
2573	131	1702	2022-08-22	2
2574	151	971	2022-08-22	2
2575	161	1296	2022-08-22	10
2576	208	729	2022-08-22	5
2577	8	4067	2022-08-23	6
2578	25	3849	2022-08-23	8
2579	56	2419	2022-08-23	8
2580	109	4004	2022-08-23	8
2581	135	846	2022-08-23	2
2582	176	586	2022-08-23	5
2583	214	889	2022-08-23	8
2584	220	1996	2022-08-23	6
2585	6	2536	2022-08-24	7
2586	30	4290	2022-08-24	3
2587	34	4248	2022-08-24	4
2588	44	3570	2022-08-24	5
2589	91	3313	2022-08-24	7
2590	94	3235	2022-08-24	5
2591	115	4124	2022-08-24	2
2592	117	4141	2022-08-24	7
2593	118	2467	2022-08-24	7
2594	132	1790	2022-08-24	8
2595	139	1523	2022-08-24	5
2596	163	110	2022-08-24	9
2597	176	61	2022-08-24	2
2598	196	532	2022-08-24	5
2599	197	21	2022-08-24	3
2600	226	698	2022-08-24	3
2601	13	3479	2022-08-25	2
2602	69	3197	2022-08-25	7
2603	73	3655	2022-08-25	10
2604	73	2472	2022-08-25	10
2605	95	3785	2022-08-25	2
2606	110	2885	2022-08-25	1
2607	132	1449	2022-08-25	5
2608	137	425	2022-08-25	6
2609	157	705	2022-08-25	3
2610	157	2152	2022-08-25	3
2611	168	404	2022-08-25	2
2612	222	499	2022-08-25	2
2613	232	1847	2022-08-25	8
2614	24	3076	2022-08-26	2
2615	58	3119	2022-08-26	9
2616	86	2250	2022-08-26	7
2617	125	494	2022-08-26	9
2618	138	1234	2022-08-26	2
2619	159	1200	2022-08-26	3
2620	172	1992	2022-08-26	4
2621	181	1370	2022-08-26	5
2622	23	2416	2022-08-27	3
2623	34	3801	2022-08-27	3
2624	68	3478	2022-08-27	5
2625	125	187	2022-08-27	10
2626	154	1747	2022-08-27	5
2627	191	911	2022-08-27	9
2628	225	2049	2022-08-27	3
2629	6	3031	2022-08-28	8
2630	9	2975	2022-08-28	10
2631	33	2702	2022-08-28	1
2632	40	3995	2022-08-28	7
2633	68	2936	2022-08-28	1
2634	97	4188	2022-08-28	2
2635	102	4118	2022-08-28	7
2636	108	2706	2022-08-28	3
2637	119	3676	2022-08-28	8
2638	161	2047	2022-08-28	3
2639	213	977	2022-08-28	10
2640	219	1436	2022-08-28	9
2641	54	3663	2022-08-29	1
2642	61	3922	2022-08-29	4
2643	119	2502	2022-08-29	8
2644	198	455	2022-08-29	8
2645	213	1669	2022-08-29	3
2646	220	726	2022-08-29	10
2647	233	774	2022-08-29	3
